machine	subject	start_time	end_time	stim	block	correct	latency	fluent	learning
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:02.312	2013-10-15 09:20:02.732000	AND	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:13.802	2013-10-15 09:20:14.352000	THAT	block	1	\N	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:14.362	2013-10-15 09:20:14.552000	WILL(2)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:14.972	2013-10-15 09:20:15.092000	A(2)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:15.102	2013-10-15 09:20:15.352000	LOT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:15.362	2013-10-15 09:20:15.432000	OF	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:15.792	2013-10-15 09:20:15.962000	TO(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:15.972	2013-10-15 09:20:16.192000	MY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:16.202	2013-10-15 09:20:16.672000	GARDEN	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:17.012	2013-10-15 09:20:17.402000	DANA	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:23.802	2013-10-15 09:20:24.172000	SHE	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:24.182	2013-10-15 09:20:24.482000	SAID	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:25.052	2013-10-15 09:20:25.272000	TO(3)	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:25.282	2013-10-15 09:20:25.392000	HER(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:26.192	2013-10-15 09:20:26.502000	AND(2)	block	1	0.1900	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:26.512	2013-10-15 09:20:26.742000	WENT	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:26.752	2013-10-15 09:20:27.172000	HOME	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:28.782	2013-10-15 09:20:29.392000	DANA	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:30.632	2013-10-15 09:20:30.732000	HER	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:31.542	2013-10-15 09:20:31.642000	THE(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:32.142	2013-10-15 09:20:32.772000	AND	block	1	0.0100	2	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:40.692	2013-10-15 09:20:41.212000	DANA	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:41.222	2013-10-15 09:20:41.422000	WAS(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:41.432	2013-10-15 09:20:41.732000	SO	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:41.742	2013-10-15 09:20:42.262000	HAPPY	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:45.382	2013-10-15 09:20:45.662000	SHE	block	1	\N	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:45.672	2013-10-15 09:20:46.052000	LOVED	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:47.362	2013-10-15 09:20:47.632000	HER(2)	block	1	0.0100	2	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:48.912	2013-10-15 09:20:49.202000	AND	block	1	0.0400	1	2
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:50.492	2013-10-15 09:20:50.932000	IT	block	1	0.0800	1	1
RT11-APHRODITE	fAH6-6-2004-06-18	2013-10-15 09:20:50.942	2013-10-15 09:20:51.672000	ALL	block	1	0.0100	2	2
